event,timestamp_ns
pattern_start,1758539899581894200
fixation_start,1758539899911883500
fixation_end,1758539901932432800
fixation_start,1758539902261097500
fixation_end,1758539904263451100
fixation_start,1758539904588686200
fixation_end,1758539906590374300
fixation_start,1758539906916299700
fixation_end,1758539908917745900
fixation_start,1758539909245186500
fixation_end,1758539911247490700
fixation_start,1758539911574990100
fixation_end,1758539913576234300
fixation_start,1758539913901309400
fixation_end,1758539915902307800
fixation_start,1758539916226615000
fixation_end,1758539918228235000
fixation_start,1758539918550142900
fixation_end,1758539920551908400
fixation_start,1758539920871799500
fixation_end,1758539922873373400
pattern_end,1758539924874358600
