event,timestamp_ns
pattern_start,1758539874915987900
fixation_start,1758539875244982100
fixation_end,1758539877246614200
fixation_start,1758539877575059700
fixation_end,1758539879576151800
fixation_start,1758539879901650300
fixation_end,1758539881903586400
fixation_start,1758539882232349800
fixation_end,1758539884234073000
fixation_start,1758539884563388700
fixation_end,1758539886564752500
fixation_start,1758539886896238500
fixation_end,1758539888898427200
fixation_start,1758539889224382100
fixation_end,1758539891225524400
fixation_start,1758539891552772600
fixation_end,1758539893554089100
fixation_start,1758539893879505400
fixation_end,1758539895881452600
pattern_end,1758539897882643700
